Date,Distance from Mouth of Creek (m),Creek,Two Letter Code,Coliform count (avg cfu or mpn/100mL),Coliform count (st dev),E. coli count (avg cfu or mpn/100mL),E. coli count (st dev),Date of qPCR,# of HF183 amplifications (out of 4),HF183 CQ mean,HF183 SQ mean (copy/100 mL),# of DogBac amplifications (out of 4),DogBac CQ mean,DogBac SQ mean (copy/100 mL),(+) Control (Amplify Y/N?),"(-) Control HF-183 (Amplify Y/N?) If Yes, how many?",(-) Control DogBac (Amplify Y/N?),Days since last rain,Flow (Hydrograph) (cfs),"Stage 
(Hydrograph) (ft)",Notes,Links,
6/9/2022,11570,Bull,SD,9678.4,,4,,7/11/2022,0,0,0,3,30.12,341.56023,Y,N,N,,,,,6/9/2022 Bull Creek FHS/Quiagen IDEXX Tray ,7/11/2022 Boggy Bull rerun #4
6/9/2022,5060,Bull,WR,9678.4,,43.2,,7/11/2022,0,0,0,0,0,0,Y,N,N,,,,,6/9/2022 Bull Creek FHS/Quiagen IDEXX Tray ,7/11/2022 Boggy Bull rerun #4
6/9/2022,13080,Bull,WW,,,,,7/12/2022,4,32.7325,7639648,0,0,0,Y,N,N,,,,,,
9/20/2022,13080,Bull,BM,3842.4,,8,,9/22/2022,0,,,0,,,Y,N,N,,,,,9/20/2022 Bull Creek IDEXX Counts,9-22-2022 UE Bull Creek samples from 9-20-22 Multiplex qPCR Data -  Quantification Cq Results.xlsx
9/20/2022,3910,Bull,LD,9678.4,,25.2,,9/22/2022,0,,,0,,,Y,N,N,,,,,9/20/2022 Bull Creek IDEXX Counts,9-22-2022 UE Bull Creek samples from 9-20-22 Multiplex qPCR Data -  Quantification Cq Results.xlsx
9/20/2022,4180,Bull,LU,960.6,,20.8,,9/22/2022,0,,,0,,,Y,N,N,,,,,9/20/2022 Bull Creek IDEXX Counts,9-22-2022 UE Bull Creek samples from 9-20-22 Multiplex qPCR Data -  Quantification Cq Results.xlsx
9/20/2022,11570,Bull,SD,2004.8,,12,,9/22/2022,0,,,0,,,Y,N,N,,,,,9/20/2022 Bull Creek IDEXX Counts,9-22-2022 UE Bull Creek samples from 9-20-22 Multiplex qPCR Data -  Quantification Cq Results.xlsx
9/20/2022,5060,Bull,WR,4044.8,,79.6,,9/22/2022,0,,,0,,,Y,N,N,,,,,9/20/2022 Bull Creek IDEXX Counts,9-22-2022 UE Bull Creek samples from 9-20-22 Multiplex qPCR Data -  Quantification Cq Results.xlsx
10/31/2025,13080,Bull,BM,2068.8,,48.4,,1/16/2026,1,0,0,0,0,0,Y,N,N,,,,Fall 2025 MST Lab Notebook ,10/31/2025 Bull Creek IDEXX Counts,10-31-25 and 11-4-25 UE FIB MST Bull Creek qPCR Run 1-16-26 -  Quantification Cq Results.xlsx
10/31/2025,13080,Bull,BM,2068.8,,48.4,,1/16/2026,1,36.79,0,0,0,0,Y,N,N,,,,hydromet ^,10/31/2025 Bull Creek IDEXX Counts,10-31-25 and 11-4-25 UE FIB MST Bull Creek qPCR Run 1-16-26 -  Quantification Cq Results.xlsx
10/31/2025,3910,Bull,LD,2746.8,,88.4,,1/16/2026,0,0,0,0,0,0,Y,N,N,,,,,,
10/31/2025,3760,Bull,LT,2299.2,,120.4,,1/16/2026,0,0,0,0,0,0,Y,N,N,,,,,10/31/2025 Bull Creek IDEXX Counts,10-31-25 and 11-4-25 UE FIB MST Bull Creek qPCR Run 1-16-26 -  Quantification Cq Results.xlsx
10/31/2025,11570,Bull,SD,1140.4,,12.4,,1/16/2026,0,0,0,0,0,0,Y,N,N,,,,,,
10/31/2025,12740,Bull,SU,740,,29.2,,1/16/2026,1,36.58,0,0,0,0,Y,N,N,,,,ran qpcr for these dates twice,10/31/2025 Bull Creek IDEXX Counts,10-31-25 and 11-4-25 UE FIB MST Bull Creek qPCR Run 1-16-26 -  Quantification Cq Results.xlsx
10/31/2025,6970,Bull,,1664,,96.4,,1/16/2026,0,0,0,0,0,0,Y,N,N,,,,,10/31/2025 Bull Creek IDEXX Counts,10-31-25 and 11-4-25 UE FIB MST Bull Creek qPCR Run 1-16-26 -  Quantification Cq Results.xlsx
